ROUTE_ID,ROUTENAME,DIRECTION,ROUTECOLOR,TEXTCOLOR,ROUTETYPE,ROUTETHEME,SERVICENM,SERVICETYP,SIGN_ID,SERVICE_ID,SOURCE,SOURCEDATE
310,Parker/Wickersham,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
300,Springdale/Oltorf,Northbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
670,Crossing Place,Inbound,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Northbound,E2231A,FFFFFF,Rail,,AFC 3RD TIME SCHEDUL,Other,154,55701-154,Capital Metro,2022-08-16
641,East Campus,Eastbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
333,William Cannon,Westbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
350,Airport Blvd,Northbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
271,Del Valle,Westbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
642,West Campus/UT,Counterclockwise,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
337,Koenig/Colony Park,Westbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
322,Chicon/Cherrywood,Southbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
640,Forty Acres,Clockwise,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
661,Far West/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Northbound,004A97,FFFFFF,Local,,AUSTIN CITY LIMITS,Special Event,154,25604-154,Capital Metro,2022-08-16
641,East Campus,Eastbound,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
642,West Campus/UT,Counterclockwise,004A97,FFFFFF,UT Shuttle,,UT Regular Weekday,UT,154,4701-154,Capital Metro,2022-08-16
214,Northwest Feeder,Eastbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
4,7th Street,Westbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
670,Crossing Place,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
642,West Campus/UT,Counterclockwise,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
271,Del Valle,Eastbound,004A97,FFFFFF,Feeder,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Southbound,004A97,FFFFFF,Local,,REGULAR SUNDAY 2,Sunday,154,31505-154,Capital Metro,2022-08-16
6,East 12th,Westbound,004A97,FFFFFF,Local,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
103,Manchaca Flyer,Northbound,555555,FFFFFF,Flyer,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
7,Duval / Dove Springs,Northbound,004A97,FFFFFF,High Frequency,,NO NIGHT OWLS,Other,154,26405-154,Capital Metro,2022-08-16
201,Southpark Meadows,Northbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
383,Research,Northbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Northbound,E2231A,FFFFFF,Rail,,AFC RAIL V5,Other,154,58805-154,Capital Metro,2022-08-16
663,Lake Austin/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
335,335 35th/38th,Westbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
641,East Campus,Westbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
345,45th,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
3,Burnet/Manchaca,Northbound,004A97,FFFFFF,Local,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
325,Metric/Rundberg,Southbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
483,Night Owl Riverside,Southbound,004A97,FFFFFF,Night Owl,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
801,N Lamar S Congress,Southbound,555555,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
337,Koenig/Colony Park,Eastbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
18,Martin Luther King,Westbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
237,Northeast Feeder,Eastbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
641,East Campus,Eastbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
243,Wells Branch,Eastbound,004A97,FFFFFF,Feeder,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
20,Manor Rd/Riverside,Northbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
315,Ben White,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
315,Ben White,Eastbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
18,Martin Luther King,Westbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
20,Manor Rd/Riverside,Southbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
4,7th Street,Westbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
661,Far West/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
333,William Cannon,Eastbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Northbound,555555,FFFFFF,High Frequency,,AFC RAIL V5,Other,154,58805-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Southbound,004A97,FFFFFF,Local,,Regular Weekday,Weekday,154,23501-154,Capital Metro,2022-08-16
980,North Mopac Express,Southbound,E2231A,FFFFFF,Express,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
339,Tuscany,Eastbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
491,Allandale,Northbound,004A97,FFFFFF,Special,,491 WORK,Saturday,154,26104-154,Capital Metro,2022-08-16
350,Airport Blvd,Southbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
484,Night Owl South Lamar,Southbound,004A97,FFFFFF,Night Owl,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
324,Georgian/Ohlen,Westbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
801,N Lamar S Congress,Southbound,555555,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
392,Braker,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,Saturday Rail,Saturday,154,15504-154,Capital Metro,2022-08-16
201,Southpark Meadows,Northbound,004A97,FFFFFF,Feeder,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,6TRAINMON to THURS,Weekday,154,39101-154,Capital Metro,2022-08-16
493,Eastview,Inbound,004A97,FFFFFF,Special,,493 WORK,Weekday,154,40801-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
670,Crossing Place,Outbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
5,Woodrow/Lamar,Southbound,004A97,FFFFFF,Local,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Southbound,004A97,FFFFFF,Local,,AUSTIN CITY LIMITS,Special Event,154,25604-154,Capital Metro,2022-08-16
300,Springdale/Oltorf,Southbound,004A97,FFFFFF,High Frequency,,Regular Sunday,Sunday,154,24105-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,6TRAIN FRIDAY,Weekday,154,39201-154,Capital Metro,2022-08-16
671,North Riverside,Inbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
311,Stassney,Westbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
20,Manor Rd/Riverside,Southbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
333,William Cannon,Westbound,004A97,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
350,Airport Blvd,Southbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
339,Tuscany,Westbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
383,Research,Northbound,004A97,FFFFFF,Crosstown,,AFC Q2 WEEKDAYS,Weekday,154,59801-154,Capital Metro,2022-08-16
641,East Campus,Westbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
990,Manor/Elgin Express,Eastbound,E2231A,FFFFFF,Express,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
672,Lakeshore,Outbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
19,Bull Creek,Northbound,004A97,FFFFFF,Local,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
217,Montopolis Feeder,Southbound,004A97,FFFFFF,Feeder,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
323,Anderson,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
10,South 1st/Red River,Northbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
233,Decker/Daffan Ln,Eastbound,004A97,FFFFFF,Feeder,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
661,Far West/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Northbound,555555,FFFFFF,High Frequency,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Northbound,004A97,FFFFFF,Local,,REGULAR SATURDAY FOR,Saturday,154,26804-154,Capital Metro,2022-08-16
642,West Campus/UT,Counterclockwise,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
801,N Lamar S Congress,Northbound,555555,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
324,Georgian/Ohlen,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
671,North Riverside,Outbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
7,Duval / Dove Springs,Southbound,004A97,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
237,Northeast Feeder,Eastbound,004A97,FFFFFF,Feeder,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,AFC 3RD TIME SCHEDUL,Other,154,55701-154,Capital Metro,2022-08-16
383,Research,Northbound,004A97,FFFFFF,Crosstown,,AFC RAIL V5,Other,154,58805-154,Capital Metro,2022-08-16
383,Research,Southbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,RAIL AFC 2,Other,154,55004-154,Capital Metro,2022-08-16
383,Research,Southbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
315,Ben White,Westbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
18,Martin Luther King,Westbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
337,Koenig/Colony Park,Westbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
484,Night Owl South Lamar,Northbound,004A97,FFFFFF,Night Owl,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
324,Georgian/Ohlen,Westbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
228,VA Clinic,Eastbound,004A97,FFFFFF,Feeder,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
982,Pavilion Express,Northbound,E2231A,FFFFFF,Express,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
233,Decker/Daffan Ln,Eastbound,004A97,FFFFFF,Feeder,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
310,Parker/Wickersham,Eastbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
661,Far West/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT Sunday Service,UT,154,21005-154,Capital Metro,2022-08-16
30,Barton Creek Sq,Southbound,004A97,FFFFFF,Local,,AUSTIN CITY LIMITS,Special Event,154,25601-154,Capital Metro,2022-08-16
672,Lakeshore,Inbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
481,Night Owl North Lamar,Southbound,004A97,FFFFFF,Night Owl,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
300,Springdale/Oltorf,Southbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Northbound,E2231A,FFFFFF,Rail,,6TRAIN FRIDAY,Weekday,154,39201-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Southbound,555555,FFFFFF,High Frequency,,AFC Q2 WEEKDAYS,Weekday,154,59801-154,Capital Metro,2022-08-16
6,East 12th,Eastbound,004A97,FFFFFF,Local,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
6,East 12th,Eastbound,004A97,FFFFFF,Local,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
20,Manor Rd/Riverside,Northbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
550,Metro Rail Red Line,Southbound,E2231A,FFFFFF,Rail,,RAIL AFC 2,Other,154,55001-154,Capital Metro,2022-08-16
383,Research,Northbound,004A97,FFFFFF,Crosstown,,RAIL AFC 2,Other,154,55004-154,Capital Metro,2022-08-16
656,Intramural Fields/UT,Outbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
311,Stassney,Eastbound,004A97,FFFFFF,High Frequency,,NO NIGHT OWLS,Other,154,26405-154,Capital Metro,2022-08-16
670,Crossing Place,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
661,Far West/UT,Inbound,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4901-154,Capital Metro,2022-08-16
383,Research,Southbound,004A97,FFFFFF,Crosstown,,AFC RAIL V5,Other,154,58805-154,Capital Metro,2022-08-16
980,North Mopac Express,Northbound,E2231A,FFFFFF,Express,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
642,West Campus/UT,Counterclockwise,004A97,FFFFFF,UT Shuttle,,UT Finals,UT,154,4904-154,Capital Metro,2022-08-16
801,N Lamar S Congress,Southbound,555555,FFFFFF,High Frequency,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
3,Burnet/Manchaca,Southbound,004A97,FFFFFF,Local,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
672,Lakeshore,Outbound,004A97,FFFFFF,UT Shuttle,,UT Sunday Service,UT,154,21005-154,Capital Metro,2022-08-16
803,Burnet/S Lamar,Southbound,555555,FFFFFF,High Frequency,,RAIL AFC 2,Other,154,55004-154,Capital Metro,2022-08-16
672,Lakeshore,Outbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
350,Airport Blvd,Northbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
985,Leander/Lakeline Direct,Southbound,E2231A,FFFFFF,Express,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
490,HEB Shuttle,Outbound,004A97,FFFFFF,Special,,Thursday Only,Weekday,154,14001-154,Capital Metro,2022-08-16
171,Oak Hill Flyer,Southbound,555555,FFFFFF,Flyer,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
671,North Riverside,Outbound,004A97,FFFFFF,UT Shuttle,,UT INT SEMSTER,UT,154,4801-154,Capital Metro,2022-08-16
337,Koenig/Colony Park,Westbound,004A97,FFFFFF,Crosstown,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
1,North Lamar/South Congress,Northbound,004A97,FFFFFF,Local,,Sunday,Sunday,154,5-154,Capital Metro,2022-08-16
345,45th,Eastbound,004A97,FFFFFF,Crosstown,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
325,Metric/Rundberg,Northbound,004A97,FFFFFF,High Frequency,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
339,Tuscany,Eastbound,004A97,FFFFFF,Crosstown,,Weekday,Weekday,154,1-154,Capital Metro,2022-08-16
5,Woodrow/Lamar,Southbound,004A97,FFFFFF,Local,,Saturday,Saturday,154,4-154,Capital Metro,2022-08-16
640,Forty Acres,Clockwise,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
672,Lakeshore,Inbound,004A97,FFFFFF,UT Shuttle,,UT Summer Weekday,UT,154,5001-154,Capital Metro,2022-08-16
