PassengerId,Survived,Ticket_class,Sex,Age,Sib_spouse,Parent_child,Fare,Embarked,relatives
1,no,3rd class,male,22.0,1,0,7.25,S,1
2,yes,1st class,female,38.0,1,0,71.2833,C,1
3,yes,3rd class,female,26.0,0,0,7.925,S,0
4,yes,1st class,female,35.0,1,0,53.1,S,1
5,no,3rd class,male,35.0,0,0,8.05,S,0
6,no,3rd class,male,29.0,0,0,8.4583,Q,0
7,no,1st class,male,54.0,0,0,51.8625,S,0
8,no,3rd class,male,2.0,3,1,21.075,S,4
9,yes,3rd class,female,27.0,0,2,11.1333,S,2
10,yes,2nd class,female,14.0,1,0,30.0708,C,1
11,yes,3rd class,female,4.0,1,1,16.7,S,2
12,yes,1st class,female,58.0,0,0,26.55,S,0
13,no,3rd class,male,20.0,0,0,8.05,S,0
14,no,3rd class,male,39.0,1,5,31.275,S,6
15,no,3rd class,female,14.0,0,0,7.8542,S,0
16,yes,2nd class,female,55.0,0,0,16.0,S,0
17,no,3rd class,male,2.0,4,1,29.125,Q,5
18,yes,2nd class,male,29.0,0,0,13.0,S,0
19,no,3rd class,female,31.0,1,0,18.0,S,1
20,yes,3rd class,female,29.0,0,0,7.225,C,0
21,no,2nd class,male,35.0,0,0,26.0,S,0
22,yes,2nd class,male,34.0,0,0,13.0,S,0
23,yes,3rd class,female,15.0,0,0,8.0292,Q,0
24,yes,1st class,male,28.0,0,0,35.5,S,0
25,no,3rd class,female,8.0,3,1,21.075,S,4
26,yes,3rd class,female,38.0,1,5,31.3875,S,6
27,no,3rd class,male,29.0,0,0,7.225,C,0
28,no,1st class,male,19.0,3,2,263.0,S,5
29,yes,3rd class,female,29.0,0,0,7.8792,Q,0
30,no,3rd class,male,29.0,0,0,7.8958,S,0
31,no,1st class,male,40.0,0,0,27.7208,C,0
32,yes,1st class,female,29.0,1,0,146.5208,C,1
33,yes,3rd class,female,29.0,0,0,7.75,Q,0
34,no,2nd class,male,66.0,0,0,10.5,S,0
35,no,1st class,male,28.0,1,0,82.1708,C,1
36,no,1st class,male,42.0,1,0,52.0,S,1
37,yes,3rd class,male,29.0,0,0,7.2292,C,0
38,no,3rd class,male,21.0,0,0,8.05,S,0
39,no,3rd class,female,18.0,2,0,18.0,S,2
40,yes,3rd class,female,14.0,1,0,11.2417,C,1
41,no,3rd class,female,40.0,1,0,9.475,S,1
42,no,2nd class,female,27.0,1,0,21.0,S,1
43,no,3rd class,male,29.0,0,0,7.8958,C,0
44,yes,2nd class,female,3.0,1,2,41.5792,C,3
45,yes,3rd class,female,19.0,0,0,7.8792,Q,0
46,no,3rd class,male,29.0,0,0,8.05,S,0
47,no,3rd class,male,29.0,1,0,15.5,Q,1
48,yes,3rd class,female,29.0,0,0,7.75,Q,0
49,no,3rd class,male,29.0,2,0,21.6792,C,2
50,no,3rd class,female,18.0,1,0,17.8,S,1
51,no,3rd class,male,7.0,4,1,39.6875,S,5
52,no,3rd class,male,21.0,0,0,7.8,S,0
53,yes,1st class,female,49.0,1,0,76.7292,C,1
54,yes,2nd class,female,29.0,1,0,26.0,S,1
55,no,1st class,male,65.0,0,1,61.9792,C,1
56,yes,1st class,male,29.0,0,0,35.5,S,0
57,yes,2nd class,female,21.0,0,0,10.5,S,0
58,no,3rd class,male,28.5,0,0,7.2292,C,0
59,yes,2nd class,female,5.0,1,2,27.75,S,3
60,no,3rd class,male,11.0,5,2,46.9,S,7
61,no,3rd class,male,22.0,0,0,7.2292,C,0
62,yes,1st class,female,38.0,0,0,80.0,S,0
63,no,1st class,male,45.0,1,0,83.475,S,1
64,no,3rd class,male,4.0,3,2,27.9,S,5
65,no,1st class,male,29.0,0,0,27.7208,C,0
66,yes,3rd class,male,29.0,1,1,15.2458,C,2
67,yes,2nd class,female,29.0,0,0,10.5,S,0
68,no,3rd class,male,19.0,0,0,8.1583,S,0
69,yes,3rd class,female,17.0,4,2,7.925,S,6
70,no,3rd class,male,26.0,2,0,8.6625,S,2
71,no,2nd class,male,32.0,0,0,10.5,S,0
72,no,3rd class,female,16.0,5,2,46.9,S,7
73,no,2nd class,male,21.0,0,0,73.5,S,0
74,no,3rd class,male,26.0,1,0,14.4542,C,1
75,yes,3rd class,male,32.0,0,0,56.4958,S,0
76,no,3rd class,male,25.0,0,0,7.65,S,0
77,no,3rd class,male,29.0,0,0,7.8958,S,0
78,no,3rd class,male,29.0,0,0,8.05,S,0
79,yes,2nd class,male,0.83,0,2,29.0,S,2
80,yes,3rd class,female,30.0,0,0,12.475,S,0
81,no,3rd class,male,22.0,0,0,9.0,S,0
82,yes,3rd class,male,29.0,0,0,9.5,S,0
83,yes,3rd class,female,29.0,0,0,7.7875,Q,0
84,no,1st class,male,28.0,0,0,47.1,S,0
85,yes,2nd class,female,17.0,0,0,10.5,S,0
86,yes,3rd class,female,33.0,3,0,15.85,S,3
87,no,3rd class,male,16.0,1,3,34.375,S,4
88,no,3rd class,male,29.0,0,0,8.05,S,0
89,yes,1st class,female,23.0,3,2,263.0,S,5
90,no,3rd class,male,24.0,0,0,8.05,S,0
91,no,3rd class,male,29.0,0,0,8.05,S,0
92,no,3rd class,male,20.0,0,0,7.8542,S,0
93,no,1st class,male,46.0,1,0,61.175,S,1
94,no,3rd class,male,26.0,1,2,20.575,S,3
95,no,3rd class,male,59.0,0,0,7.25,S,0
96,no,3rd class,male,29.0,0,0,8.05,S,0
97,no,1st class,male,71.0,0,0,34.6542,C,0
98,yes,1st class,male,23.0,0,1,63.3583,C,1
99,yes,2nd class,female,34.0,0,1,23.0,S,1
100,no,2nd class,male,34.0,1,0,26.0,S,1
101,no,3rd class,female,28.0,0,0,7.8958,S,0
102,no,3rd class,male,29.0,0,0,7.8958,S,0
103,no,1st class,male,21.0,0,1,77.2875,S,1
104,no,3rd class,male,33.0,0,0,8.6542,S,0
105,no,3rd class,male,37.0,2,0,7.925,S,2
106,no,3rd class,male,28.0,0,0,7.8958,S,0
107,yes,3rd class,female,21.0,0,0,7.65,S,0
108,yes,3rd class,male,29.0,0,0,7.775,S,0
109,no,3rd class,male,38.0,0,0,7.8958,S,0
110,yes,3rd class,female,29.0,1,0,24.15,Q,1
111,no,1st class,male,47.0,0,0,52.0,S,0
112,no,3rd class,female,14.5,1,0,14.4542,C,1
113,no,3rd class,male,22.0,0,0,8.05,S,0
114,no,3rd class,female,20.0,1,0,9.825,S,1
115,no,3rd class,female,17.0,0,0,14.4583,C,0
116,no,3rd class,male,21.0,0,0,7.925,S,0
117,no,3rd class,male,70.5,0,0,7.75,Q,0
118,no,2nd class,male,29.0,1,0,21.0,S,1
119,no,1st class,male,24.0,0,1,247.5208,C,1
120,no,3rd class,female,2.0,4,2,31.275,S,6
121,no,2nd class,male,21.0,2,0,73.5,S,2
122,no,3rd class,male,29.0,0,0,8.05,S,0
123,no,2nd class,male,32.5,1,0,30.0708,C,1
124,yes,2nd class,female,32.5,0,0,13.0,S,0
125,no,1st class,male,54.0,0,1,77.2875,S,1
126,yes,3rd class,male,12.0,1,0,11.2417,C,1
127,no,3rd class,male,29.0,0,0,7.75,Q,0
128,yes,3rd class,male,24.0,0,0,7.1417,S,0
129,yes,3rd class,female,29.0,1,1,22.3583,C,2
130,no,3rd class,male,45.0,0,0,6.975,S,0
131,no,3rd class,male,33.0,0,0,7.8958,C,0
132,no,3rd class,male,20.0,0,0,7.05,S,0
133,no,3rd class,female,47.0,1,0,14.5,S,1
134,yes,2nd class,female,29.0,1,0,26.0,S,1
135,no,2nd class,male,25.0,0,0,13.0,S,0
136,no,2nd class,male,23.0,0,0,15.0458,C,0
137,yes,1st class,female,19.0,0,2,26.2833,S,2
138,no,1st class,male,37.0,1,0,53.1,S,1
139,no,3rd class,male,16.0,0,0,9.2167,S,0
140,no,1st class,male,24.0,0,0,79.2,C,0
141,no,3rd class,female,29.0,0,2,15.2458,C,2
142,yes,3rd class,female,22.0,0,0,7.75,S,0
143,yes,3rd class,female,24.0,1,0,15.85,S,1
144,no,3rd class,male,19.0,0,0,6.75,Q,0
145,no,2nd class,male,18.0,0,0,11.5,S,0
146,no,2nd class,male,19.0,1,1,36.75,S,2
147,yes,3rd class,male,27.0,0,0,7.7958,S,0
148,no,3rd class,female,9.0,2,2,34.375,S,4
149,no,2nd class,male,36.5,0,2,26.0,S,2
150,no,2nd class,male,42.0,0,0,13.0,S,0
151,no,2nd class,male,51.0,0,0,12.525,S,0
152,yes,1st class,female,22.0,1,0,66.6,S,1
153,no,3rd class,male,55.5,0,0,8.05,S,0
154,no,3rd class,male,40.5,0,2,14.5,S,2
155,no,3rd class,male,29.0,0,0,7.3125,S,0
156,no,1st class,male,51.0,0,1,61.3792,C,1
157,yes,3rd class,female,16.0,0,0,7.7333,Q,0
158,no,3rd class,male,30.0,0,0,8.05,S,0
159,no,3rd class,male,29.0,0,0,8.6625,S,0
160,no,3rd class,male,29.0,8,2,69.55,S,10
161,no,3rd class,male,44.0,0,1,16.1,S,1
162,yes,2nd class,female,40.0,0,0,15.75,S,0
163,no,3rd class,male,26.0,0,0,7.775,S,0
164,no,3rd class,male,17.0,0,0,8.6625,S,0
165,no,3rd class,male,1.0,4,1,39.6875,S,5
166,yes,3rd class,male,9.0,0,2,20.525,S,2
167,yes,1st class,female,29.0,0,1,55.0,S,1
168,no,3rd class,female,45.0,1,4,27.9,S,5
169,no,1st class,male,29.0,0,0,25.925,S,0
170,no,3rd class,male,28.0,0,0,56.4958,S,0
171,no,1st class,male,61.0,0,0,33.5,S,0
172,no,3rd class,male,4.0,4,1,29.125,Q,5
173,yes,3rd class,female,1.0,1,1,11.1333,S,2
174,no,3rd class,male,21.0,0,0,7.925,S,0
175,no,1st class,male,56.0,0,0,30.6958,C,0
176,no,3rd class,male,18.0,1,1,7.8542,S,2
177,no,3rd class,male,29.0,3,1,25.4667,S,4
178,no,1st class,female,50.0,0,0,28.7125,C,0
179,no,2nd class,male,30.0,0,0,13.0,S,0
180,no,3rd class,male,36.0,0,0,0.0,S,0
181,no,3rd class,female,29.0,8,2,69.55,S,10
182,no,2nd class,male,29.0,0,0,15.05,C,0
183,no,3rd class,male,9.0,4,2,31.3875,S,6
184,yes,2nd class,male,1.0,2,1,39.0,S,3
185,yes,3rd class,female,4.0,0,2,22.025,S,2
186,no,1st class,male,29.0,0,0,50.0,S,0
187,yes,3rd class,female,29.0,1,0,15.5,Q,1
188,yes,1st class,male,45.0,0,0,26.55,S,0
189,no,3rd class,male,40.0,1,1,15.5,Q,2
190,no,3rd class,male,36.0,0,0,7.8958,S,0
191,yes,2nd class,female,32.0,0,0,13.0,S,0
192,no,2nd class,male,19.0,0,0,13.0,S,0
193,yes,3rd class,female,19.0,1,0,7.8542,S,1
194,yes,2nd class,male,3.0,1,1,26.0,S,2
195,yes,1st class,female,44.0,0,0,27.7208,C,0
196,yes,1st class,female,58.0,0,0,146.5208,C,0
197,no,3rd class,male,29.0,0,0,7.75,Q,0
198,no,3rd class,male,42.0,0,1,8.4042,S,1
199,yes,3rd class,female,29.0,0,0,7.75,Q,0
200,no,2nd class,female,24.0,0,0,13.0,S,0
201,no,3rd class,male,28.0,0,0,9.5,S,0
202,no,3rd class,male,29.0,8,2,69.55,S,10
203,no,3rd class,male,34.0,0,0,6.4958,S,0
204,no,3rd class,male,45.5,0,0,7.225,C,0
205,yes,3rd class,male,18.0,0,0,8.05,S,0
206,no,3rd class,female,2.0,0,1,10.4625,S,1
207,no,3rd class,male,32.0,1,0,15.85,S,1
208,yes,3rd class,male,26.0,0,0,18.7875,C,0
209,yes,3rd class,female,16.0,0,0,7.75,Q,0
210,yes,1st class,male,40.0,0,0,31.0,C,0
211,no,3rd class,male,24.0,0,0,7.05,S,0
212,yes,2nd class,female,35.0,0,0,21.0,S,0
213,no,3rd class,male,22.0,0,0,7.25,S,0
214,no,2nd class,male,30.0,0,0,13.0,S,0
215,no,3rd class,male,29.0,1,0,7.75,Q,1
216,yes,1st class,female,31.0,1,0,113.275,C,1
217,yes,3rd class,female,27.0,0,0,7.925,S,0
218,no,2nd class,male,42.0,1,0,27.0,S,1
219,yes,1st class,female,32.0,0,0,76.2917,C,0
220,no,2nd class,male,30.0,0,0,10.5,S,0
221,yes,3rd class,male,16.0,0,0,8.05,S,0
222,no,2nd class,male,27.0,0,0,13.0,S,0
223,no,3rd class,male,51.0,0,0,8.05,S,0
224,no,3rd class,male,29.0,0,0,7.8958,S,0
225,yes,1st class,male,38.0,1,0,90.0,S,1
226,no,3rd class,male,22.0,0,0,9.35,S,0
227,yes,2nd class,male,19.0,0,0,10.5,S,0
228,no,3rd class,male,20.5,0,0,7.25,S,0
229,no,2nd class,male,18.0,0,0,13.0,S,0
230,no,3rd class,female,29.0,3,1,25.4667,S,4
231,yes,1st class,female,35.0,1,0,83.475,S,1
232,no,3rd class,male,29.0,0,0,7.775,S,0
233,no,2nd class,male,59.0,0,0,13.5,S,0
234,yes,3rd class,female,5.0,4,2,31.3875,S,6
235,no,2nd class,male,24.0,0,0,10.5,S,0
236,no,3rd class,female,29.0,0,0,7.55,S,0
237,no,2nd class,male,44.0,1,0,26.0,S,1
238,yes,2nd class,female,8.0,0,2,26.25,S,2
239,no,2nd class,male,19.0,0,0,10.5,S,0
240,no,2nd class,male,33.0,0,0,12.275,S,0
241,no,3rd class,female,29.0,1,0,14.4542,C,1
242,yes,3rd class,female,29.0,1,0,15.5,Q,1
243,no,2nd class,male,29.0,0,0,10.5,S,0
244,no,3rd class,male,22.0,0,0,7.125,S,0
245,no,3rd class,male,30.0,0,0,7.225,C,0
246,no,1st class,male,44.0,2,0,90.0,Q,2
247,no,3rd class,female,25.0,0,0,7.775,S,0
248,yes,2nd class,female,24.0,0,2,14.5,S,2
249,yes,1st class,male,37.0,1,1,52.5542,S,2
250,no,2nd class,male,54.0,1,0,26.0,S,1
251,no,3rd class,male,29.0,0,0,7.25,S,0
252,no,3rd class,female,29.0,1,1,10.4625,S,2
253,no,1st class,male,62.0,0,0,26.55,S,0
254,no,3rd class,male,30.0,1,0,16.1,S,1
255,no,3rd class,female,41.0,0,2,20.2125,S,2
256,yes,3rd class,female,29.0,0,2,15.2458,C,2
257,yes,1st class,female,29.0,0,0,79.2,C,0
258,yes,1st class,female,30.0,0,0,86.5,S,0
259,yes,1st class,female,35.0,0,0,512.3292,C,0
260,yes,2nd class,female,50.0,0,1,26.0,S,1
261,no,3rd class,male,29.0,0,0,7.75,Q,0
262,yes,3rd class,male,3.0,4,2,31.3875,S,6
263,no,1st class,male,52.0,1,1,79.65,S,2
264,no,1st class,male,40.0,0,0,0.0,S,0
265,no,3rd class,female,29.0,0,0,7.75,Q,0
266,no,2nd class,male,36.0,0,0,10.5,S,0
267,no,3rd class,male,16.0,4,1,39.6875,S,5
268,yes,3rd class,male,25.0,1,0,7.775,S,1
269,yes,1st class,female,58.0,0,1,153.4625,S,1
270,yes,1st class,female,35.0,0,0,135.6333,S,0
271,no,1st class,male,29.0,0,0,31.0,S,0
272,yes,3rd class,male,25.0,0,0,0.0,S,0
273,yes,2nd class,female,41.0,0,1,19.5,S,1
274,no,1st class,male,37.0,0,1,29.7,C,1
275,yes,3rd class,female,29.0,0,0,7.75,Q,0
276,yes,1st class,female,63.0,1,0,77.9583,S,1
277,no,3rd class,female,45.0,0,0,7.75,S,0
278,no,2nd class,male,29.0,0,0,0.0,S,0
279,no,3rd class,male,7.0,4,1,29.125,Q,5
280,yes,3rd class,female,35.0,1,1,20.25,S,2
281,no,3rd class,male,65.0,0,0,7.75,Q,0
282,no,3rd class,male,28.0,0,0,7.8542,S,0
283,no,3rd class,male,16.0,0,0,9.5,S,0
284,yes,3rd class,male,19.0,0,0,8.05,S,0
285,no,1st class,male,29.0,0,0,26.0,S,0
286,no,3rd class,male,33.0,0,0,8.6625,C,0
287,yes,3rd class,male,30.0,0,0,9.5,S,0
288,no,3rd class,male,22.0,0,0,7.8958,S,0
289,yes,2nd class,male,42.0,0,0,13.0,S,0
290,yes,3rd class,female,22.0,0,0,7.75,Q,0
291,yes,1st class,female,26.0,0,0,78.85,S,0
292,yes,1st class,female,19.0,1,0,91.0792,C,1
293,no,2nd class,male,36.0,0,0,12.875,C,0
294,no,3rd class,female,24.0,0,0,8.85,S,0
295,no,3rd class,male,24.0,0,0,7.8958,S,0
296,no,1st class,male,29.0,0,0,27.7208,C,0
297,no,3rd class,male,23.5,0,0,7.2292,C,0
298,no,1st class,female,2.0,1,2,151.55,S,3
299,yes,1st class,male,29.0,0,0,30.5,S,0
300,yes,1st class,female,50.0,0,1,247.5208,C,1
301,yes,3rd class,female,29.0,0,0,7.75,Q,0
302,yes,3rd class,male,29.0,2,0,23.25,Q,2
303,no,3rd class,male,19.0,0,0,0.0,S,0
304,yes,2nd class,female,29.0,0,0,12.35,Q,0
305,no,3rd class,male,29.0,0,0,8.05,S,0
306,yes,1st class,male,0.92,1,2,151.55,S,3
307,yes,1st class,female,29.0,0,0,110.8833,C,0
308,yes,1st class,female,17.0,1,0,108.9,C,1
309,no,2nd class,male,30.0,1,0,24.0,C,1
310,yes,1st class,female,30.0,0,0,56.9292,C,0
311,yes,1st class,female,24.0,0,0,83.1583,C,0
312,yes,1st class,female,18.0,2,2,262.375,C,4
313,no,2nd class,female,26.0,1,1,26.0,S,2
314,no,3rd class,male,28.0,0,0,7.8958,S,0
315,no,2nd class,male,43.0,1,1,26.25,S,2
316,yes,3rd class,female,26.0,0,0,7.8542,S,0
317,yes,2nd class,female,24.0,1,0,26.0,S,1
318,no,2nd class,male,54.0,0,0,14.0,S,0
319,yes,1st class,female,31.0,0,2,164.8667,S,2
320,yes,1st class,female,40.0,1,1,134.5,C,2
321,no,3rd class,male,22.0,0,0,7.25,S,0
322,no,3rd class,male,27.0,0,0,7.8958,S,0
323,yes,2nd class,female,30.0,0,0,12.35,Q,0
324,yes,2nd class,female,22.0,1,1,29.0,S,2
325,no,3rd class,male,29.0,8,2,69.55,S,10
326,yes,1st class,female,36.0,0,0,135.6333,C,0
327,no,3rd class,male,61.0,0,0,6.2375,S,0
328,yes,2nd class,female,36.0,0,0,13.0,S,0
329,yes,3rd class,female,31.0,1,1,20.525,S,2
330,yes,1st class,female,16.0,0,1,57.9792,C,1
331,yes,3rd class,female,29.0,2,0,23.25,Q,2
332,no,1st class,male,45.5,0,0,28.5,S,0
333,no,1st class,male,38.0,0,1,153.4625,S,1
334,no,3rd class,male,16.0,2,0,18.0,S,2
335,yes,1st class,female,29.0,1,0,133.65,S,1
336,no,3rd class,male,29.0,0,0,7.8958,S,0
337,no,1st class,male,29.0,1,0,66.6,S,1
338,yes,1st class,female,41.0,0,0,134.5,C,0
339,yes,3rd class,male,45.0,0,0,8.05,S,0
340,no,1st class,male,45.0,0,0,35.5,S,0
341,yes,2nd class,male,2.0,1,1,26.0,S,2
342,yes,1st class,female,24.0,3,2,263.0,S,5
343,no,2nd class,male,28.0,0,0,13.0,S,0
344,no,2nd class,male,25.0,0,0,13.0,S,0
345,no,2nd class,male,36.0,0,0,13.0,S,0
346,yes,2nd class,female,24.0,0,0,13.0,S,0
347,yes,2nd class,female,40.0,0,0,13.0,S,0
348,yes,3rd class,female,29.0,1,0,16.1,S,1
349,yes,3rd class,male,3.0,1,1,15.9,S,2
350,no,3rd class,male,42.0,0,0,8.6625,S,0
351,no,3rd class,male,23.0,0,0,9.225,S,0
352,no,1st class,male,29.0,0,0,35.0,S,0
353,no,3rd class,male,15.0,1,1,7.2292,C,2
354,no,3rd class,male,25.0,1,0,17.8,S,1
355,no,3rd class,male,29.0,0,0,7.225,C,0
356,no,3rd class,male,28.0,0,0,9.5,S,0
357,yes,1st class,female,22.0,0,1,55.0,S,1
358,no,2nd class,female,38.0,0,0,13.0,S,0
359,yes,3rd class,female,29.0,0,0,7.8792,Q,0
360,yes,3rd class,female,29.0,0,0,7.8792,Q,0
361,no,3rd class,male,40.0,1,4,27.9,S,5
362,no,2nd class,male,29.0,1,0,27.7208,C,1
363,no,3rd class,female,45.0,0,1,14.4542,C,1
364,no,3rd class,male,35.0,0,0,7.05,S,0
365,no,3rd class,male,29.0,1,0,15.5,Q,1
366,no,3rd class,male,30.0,0,0,7.25,S,0
367,yes,1st class,female,60.0,1,0,75.25,C,1
368,yes,3rd class,female,29.0,0,0,7.2292,C,0
369,yes,3rd class,female,29.0,0,0,7.75,Q,0
370,yes,1st class,female,24.0,0,0,69.3,C,0
371,yes,1st class,male,25.0,1,0,55.4417,C,1
372,no,3rd class,male,18.0,1,0,6.4958,S,1
373,no,3rd class,male,19.0,0,0,8.05,S,0
374,no,1st class,male,22.0,0,0,135.6333,C,0
375,no,3rd class,female,3.0,3,1,21.075,S,4
376,yes,1st class,female,29.0,1,0,82.1708,C,1
377,yes,3rd class,female,22.0,0,0,7.25,S,0
378,no,1st class,male,27.0,0,2,211.5,C,2
379,no,3rd class,male,20.0,0,0,4.0125,C,0
380,no,3rd class,male,19.0,0,0,7.775,S,0
381,yes,1st class,female,42.0,0,0,227.525,C,0
382,yes,3rd class,female,1.0,0,2,15.7417,C,2
383,no,3rd class,male,32.0,0,0,7.925,S,0
384,yes,1st class,female,35.0,1,0,52.0,S,1
385,no,3rd class,male,29.0,0,0,7.8958,S,0
386,no,2nd class,male,18.0,0,0,73.5,S,0
387,no,3rd class,male,1.0,5,2,46.9,S,7
388,yes,2nd class,female,36.0,0,0,13.0,S,0
389,no,3rd class,male,29.0,0,0,7.7292,Q,0
390,yes,2nd class,female,17.0,0,0,12.0,C,0
391,yes,1st class,male,36.0,1,2,120.0,S,3
392,yes,3rd class,male,21.0,0,0,7.7958,S,0
393,no,3rd class,male,28.0,2,0,7.925,S,2
394,yes,1st class,female,23.0,1,0,113.275,C,1
395,yes,3rd class,female,24.0,0,2,16.7,S,2
396,no,3rd class,male,22.0,0,0,7.7958,S,0
397,no,3rd class,female,31.0,0,0,7.8542,S,0
398,no,2nd class,male,46.0,0,0,26.0,S,0
399,no,2nd class,male,23.0,0,0,10.5,S,0
400,yes,2nd class,female,28.0,0,0,12.65,S,0
401,yes,3rd class,male,39.0,0,0,7.925,S,0
402,no,3rd class,male,26.0,0,0,8.05,S,0
403,no,3rd class,female,21.0,1,0,9.825,S,1
404,no,3rd class,male,28.0,1,0,15.85,S,1
405,no,3rd class,female,20.0,0,0,8.6625,S,0
406,no,2nd class,male,34.0,1,0,21.0,S,1
407,no,3rd class,male,51.0,0,0,7.75,S,0
408,yes,2nd class,male,3.0,1,1,18.75,S,2
409,no,3rd class,male,21.0,0,0,7.775,S,0
410,no,3rd class,female,29.0,3,1,25.4667,S,4
411,no,3rd class,male,29.0,0,0,7.8958,S,0
412,no,3rd class,male,29.0,0,0,6.8583,Q,0
413,yes,1st class,female,33.0,1,0,90.0,Q,1
414,no,2nd class,male,29.0,0,0,0.0,S,0
415,yes,3rd class,male,44.0,0,0,7.925,S,0
416,no,3rd class,female,29.0,0,0,8.05,S,0
417,yes,2nd class,female,34.0,1,1,32.5,S,2
418,yes,2nd class,female,18.0,0,2,13.0,S,2
419,no,2nd class,male,30.0,0,0,13.0,S,0
420,no,3rd class,female,10.0,0,2,24.15,S,2
421,no,3rd class,male,29.0,0,0,7.8958,C,0
422,no,3rd class,male,21.0,0,0,7.7333,Q,0
423,no,3rd class,male,29.0,0,0,7.875,S,0
424,no,3rd class,female,28.0,1,1,14.4,S,2
425,no,3rd class,male,18.0,1,1,20.2125,S,2
426,no,3rd class,male,29.0,0,0,7.25,S,0
427,yes,2nd class,female,28.0,1,0,26.0,S,1
428,yes,2nd class,female,19.0,0,0,26.0,S,0
429,no,3rd class,male,29.0,0,0,7.75,Q,0
430,yes,3rd class,male,32.0,0,0,8.05,S,0
431,yes,1st class,male,28.0,0,0,26.55,S,0
432,yes,3rd class,female,29.0,1,0,16.1,S,1
433,yes,2nd class,female,42.0,1,0,26.0,S,1
434,no,3rd class,male,17.0,0,0,7.125,S,0
435,no,1st class,male,50.0,1,0,55.9,S,1
436,yes,1st class,female,14.0,1,2,120.0,S,3
437,no,3rd class,female,21.0,2,2,34.375,S,4
438,yes,2nd class,female,24.0,2,3,18.75,S,5
439,no,1st class,male,64.0,1,4,263.0,S,5
440,no,2nd class,male,31.0,0,0,10.5,S,0
441,yes,2nd class,female,45.0,1,1,26.25,S,2
442,no,3rd class,male,20.0,0,0,9.5,S,0
443,no,3rd class,male,25.0,1,0,7.775,S,1
444,yes,2nd class,female,28.0,0,0,13.0,S,0
445,yes,3rd class,male,29.0,0,0,8.1125,S,0
